############ [seed=1 1/4] ILCHO sigmoid -- 4000 ep ############ Wed, Sep  9, 2026  1:54:10 AM
replay buffer: 168 episodes (17.8 MB/episode)
C:\Users\84946\Documents\learning\6G_NTN\src\ilcho\train.py:127: RuntimeWarning: Mean of empty slice
  f"loss {np.nanmean(hist['loss'][w]):.4f} | "
ep     1 | eps 0.90 | return   -99.87 | HO   2.35 | HOF 65.96 | SE  2.06 | loss nan |      3s
HSNF       starlink_phase_2a  UE= 40 | ho  11.317 | hof   0.025 | se   3.104 | jfi   0.998 | occ_var   0.160
HSNF       starlink_phase_2a  UE= 70 | ho   9.887 | hof   0.040 | se   2.805 | jfi   0.993 | occ_var   0.188
HSNF       starlink_phase_2a  UE=100 | ho   5.543 | hof   3.368 | se   2.554 | jfi   0.992 | occ_var   0.142
LBSH       starlink_phase_2a  UE=  5 | ho  10.244 | hof   0.244 | se   2.366 | jfi   0.990 | occ_var   0.007
LBSH       starlink_phase_2a  UE= 20 | ho  10.000 | hof   0.372 | se   2.315 | jfi   0.991 | occ_var   0.045
LBSH       starlink_phase_2a  UE= 40 | ho   9.172 | hof   0.769 | se   2.354 | jfi   0.992 | occ_var   0.088
LBSH       starlink_phase_2a  UE= 70 | ho   7.011 | hof   1.965 | se   2.437 | jfi   0.993 | occ_var   0.139
LBSH       starlink_phase_2a  UE=100 | ho   4.242 | hof   3.414 | se   2.479 | jfi   0.993 | occ_var   0.142
############ [seed=2 1/4] ILCHO sigmoid -- 4000 ep ############ Wed, Sep  9, 2026 10:47:54 AM
replay buffer: 168 episodes (17.8 MB/episode)
C:\Users\84946\Documents\learning\6G_NTN\src\ilcho\train.py:127: RuntimeWarning: Mean of empty slice
  f"loss {np.nanmean(hist['loss'][w]):.4f} | "
ep     1 | eps 0.90 | return   -93.93 | HO   2.60 | HOF 64.10 | SE  2.06 | loss nan |      3s
ep    25 | eps 0.89 | return   -83.09 | HO   2.91 | HOF 63.04 | SE  2.08 | loss 17.8325 |     77s
ep    50 | eps 0.88 | return   -86.40 | HO   2.82 | HOF 63.45 | SE  2.08 | loss 1.7614 |    156s
ep    75 | eps 0.88 | return   -80.31 | HO   2.87 | HOF 62.71 | SE  2.09 | loss 0.4470 |    233s
ep   100 | eps 0.87 | return   -82.27 | HO   2.92 | HOF 62.83 | SE  2.08 | loss 0.2147 |    311s
ep   125 | eps 0.86 | return   -88.46 | HO   2.72 | HOF 64.11 | SE  2.08 | loss 0.1326 |    389s
ep   150 | eps 0.85 | return   -88.51 | HO   2.78 | HOF 63.80 | SE  2.07 | loss 0.1430 |    467s
ep   175 | eps 0.84 | return   -79.45 | HO   2.81 | HOF 62.47 | SE  2.09 | loss 0.2352 |    546s
ep   200 | eps 0.83 | return   -76.99 | HO   2.87 | HOF 62.06 | SE  2.09 | loss 0.2592 |    625s
ep   225 | eps 0.82 | return   -79.18 | HO   2.93 | HOF 62.04 | SE  2.09 | loss 0.2327 |    704s
ep   250 | eps 0.82 | return   -77.12 | HO   2.89 | HOF 61.73 | SE  2.09 | loss 0.1783 |    784s
ep   275 | eps 0.81 | return   -75.06 | HO   2.97 | HOF 61.32 | SE  2.09 | loss 0.1675 |    863s
ep   300 | eps 0.80 | return   -77.07 | HO   2.84 | HOF 61.78 | SE  2.09 | loss 0.1643 |    942s
ep   325 | eps 0.79 | return   -76.76 | HO   2.79 | HOF 61.71 | SE  2.09 | loss 0.1594 |   1021s
ep   350 | eps 0.78 | return   -71.60 | HO   3.07 | HOF 60.78 | SE  2.10 | loss 0.1655 |   1100s
ep   375 | eps 0.78 | return   -73.53 | HO   2.88 | HOF 61.06 | SE  2.09 | loss 0.1779 |   1180s
ep   400 | eps 0.77 | return   -70.64 | HO   2.90 | HOF 60.67 | SE  2.10 | loss 0.1841 |   1259s
ep   425 | eps 0.76 | return   -73.11 | HO   2.85 | HOF 61.10 | SE  2.10 | loss 0.2139 |   1337s
ep   450 | eps 0.75 | return   -66.95 | HO   2.81 | HOF 60.86 | SE  2.11 | loss 0.2916 |   1415s
ep   475 | eps 0.74 | return   -64.52 | HO   3.00 | HOF 60.10 | SE  2.11 | loss 0.1883 |   1493s
ep   500 | eps 0.73 | return   -65.41 | HO   2.95 | HOF 60.43 | SE  2.11 | loss 0.2235 |   1571s
ep   525 | eps 0.72 | return   -70.90 | HO   2.74 | HOF 61.22 | SE  2.10 | loss 0.1996 |   1649s
ep   550 | eps 0.72 | return   -56.92 | HO   2.96 | HOF 58.33 | SE  2.12 | loss 0.4744 |   1726s
ep   575 | eps 0.71 | return   -70.65 | HO   2.81 | HOF 60.81 | SE  2.10 | loss 0.2420 |   1804s
ep   600 | eps 0.70 | return   -73.73 | HO   2.92 | HOF 61.24 | SE  2.09 | loss 0.4980 |   1882s
ep   625 | eps 0.69 | return   -53.74 | HO   3.26 | HOF 57.25 | SE  2.12 | loss 0.2701 |   1961s
ep   650 | eps 0.68 | return   -55.45 | HO   2.95 | HOF 58.19 | SE  2.12 | loss 0.1516 |   2039s
ep   675 | eps 0.68 | return   -56.73 | HO   2.81 | HOF 58.51 | SE  2.12 | loss 0.1428 |   2118s
ep   700 | eps 0.67 | return   -51.95 | HO   3.03 | HOF 57.54 | SE  2.12 | loss 0.1237 |   2196s
ep   725 | eps 0.66 | return   -44.72 | HO   3.09 | HOF 56.45 | SE  2.13 | loss 0.1045 |   2275s
ep   750 | eps 0.65 | return   -46.22 | HO   3.04 | HOF 56.49 | SE  2.13 | loss 0.1038 |   2353s
ep   775 | eps 0.64 | return   -44.41 | HO   3.13 | HOF 55.99 | SE  2.13 | loss 0.0820 |   2431s
ep   800 | eps 0.63 | return   -44.76 | HO   3.05 | HOF 56.03 | SE  2.13 | loss 0.0753 |   2508s
ep   825 | eps 0.62 | return   -41.40 | HO   3.04 | HOF 55.49 | SE  2.13 | loss 0.0718 |   2586s
ep   850 | eps 0.62 | return   -37.59 | HO   3.17 | HOF 54.73 | SE  2.14 | loss 0.0681 |   2664s
ep   875 | eps 0.61 | return   -35.44 | HO   3.21 | HOF 54.29 | SE  2.14 | loss 0.0647 |   2743s
ep   900 | eps 0.60 | return   -33.86 | HO   3.20 | HOF 54.12 | SE  2.15 | loss 0.0640 |   2821s
ep   925 | eps 0.59 | return   -31.56 | HO   3.13 | HOF 53.74 | SE  2.15 | loss 0.0615 |   2900s
ep   950 | eps 0.58 | return   -31.04 | HO   3.14 | HOF 53.46 | SE  2.15 | loss 0.0606 |   2978s
ep   975 | eps 0.57 | return   -23.95 | HO   3.28 | HOF 52.54 | SE  2.16 | loss 0.0599 |   3056s
ep  1000 | eps 0.57 | return   -25.59 | HO   3.19 | HOF 52.57 | SE  2.16 | loss 0.0583 |   3135s
ep  1025 | eps 0.56 | return   -20.93 | HO   3.31 | HOF 51.92 | SE  2.16 | loss 0.0568 |   3213s
ep  1050 | eps 0.55 | return   -19.29 | HO   3.37 | HOF 51.54 | SE  2.17 | loss 0.0567 |   3292s
ep  1075 | eps 0.54 | return   -19.48 | HO   3.31 | HOF 51.35 | SE  2.16 | loss 0.0557 |   3370s
ep  1100 | eps 0.53 | return   -16.50 | HO   3.34 | HOF 51.00 | SE  2.17 | loss 0.0545 |   3448s
ep  1125 | eps 0.53 | return   -12.19 | HO   3.30 | HOF 50.37 | SE  2.17 | loss 0.0529 |   3527s
ep  1150 | eps 0.52 | return    -7.78 | HO   3.47 | HOF 49.63 | SE  2.18 | loss 0.0515 |   3606s
ep  1175 | eps 0.51 | return    -8.00 | HO   3.44 | HOF 49.53 | SE  2.18 | loss 0.0505 |   3685s
ep  1200 | eps 0.50 | return    -8.24 | HO   3.47 | HOF 49.42 | SE  2.18 | loss 0.0494 |   3764s
ep  1225 | eps 0.49 | return    -5.73 | HO   3.39 | HOF 49.08 | SE  2.18 | loss 0.0485 |   3843s
ep  1250 | eps 0.48 | return    -1.44 | HO   3.48 | HOF 48.34 | SE  2.19 | loss 0.0466 |   3922s
ep  1275 | eps 0.47 | return     0.09 | HO   3.61 | HOF 47.83 | SE  2.19 | loss 0.0452 |   4001s
ep  1300 | eps 0.47 | return     5.47 | HO   3.68 | HOF 47.04 | SE  2.20 | loss 0.0439 |   4080s
ep  1325 | eps 0.46 | return     7.18 | HO   3.64 | HOF 46.75 | SE  2.20 | loss 0.0430 |   4158s
ep  1350 | eps 0.45 | return     9.99 | HO   3.68 | HOF 46.26 | SE  2.20 | loss 0.0415 |   4237s
ep  1375 | eps 0.44 | return    12.52 | HO   3.74 | HOF 45.70 | SE  2.21 | loss 0.0407 |   4315s
ep  1400 | eps 0.43 | return    15.64 | HO   3.73 | HOF 45.23 | SE  2.21 | loss 0.0397 |   4393s
ep  1425 | eps 0.42 | return    17.22 | HO   3.77 | HOF 44.95 | SE  2.21 | loss 0.0390 |   4472s
ep  1450 | eps 0.42 | return    18.92 | HO   3.67 | HOF 44.54 | SE  2.21 | loss 0.0383 |   4550s
ep  1475 | eps 0.41 | return    20.35 | HO   3.82 | HOF 44.04 | SE  2.22 | loss 0.0369 |   4629s
ep  1500 | eps 0.40 | return    23.26 | HO   3.76 | HOF 43.78 | SE  2.22 | loss 0.0364 |   4708s
ep  1525 | eps 0.39 | return    26.54 | HO   3.80 | HOF 43.08 | SE  2.22 | loss 0.0357 |   4786s
ep  1550 | eps 0.38 | return    32.12 | HO   3.79 | HOF 42.34 | SE  2.23 | loss 0.0350 |   4865s
ep  1575 | eps 0.38 | return    31.34 | HO   3.88 | HOF 42.09 | SE  2.23 | loss 0.0340 |   4944s
ep  1600 | eps 0.37 | return    37.53 | HO   3.82 | HOF 41.20 | SE  2.24 | loss 0.0337 |   5023s
ep  1625 | eps 0.36 | return    37.62 | HO   3.89 | HOF 40.94 | SE  2.24 | loss 0.0331 |   5101s
ep  1650 | eps 0.35 | return    44.40 | HO   3.90 | HOF 40.01 | SE  2.25 | loss 0.0325 |   5179s
ep  1675 | eps 0.34 | return    46.13 | HO   3.81 | HOF 39.75 | SE  2.25 | loss 0.0316 |   5258s
ep  1700 | eps 0.33 | return    50.37 | HO   3.92 | HOF 39.14 | SE  2.26 | loss 0.0315 |   5336s
ep  1725 | eps 0.32 | return    50.45 | HO   3.98 | HOF 38.73 | SE  2.26 | loss 0.0309 |   5415s
ep  1750 | eps 0.32 | return    55.11 | HO   3.94 | HOF 37.94 | SE  2.26 | loss 0.0308 |   5494s
ep  1775 | eps 0.31 | return    57.36 | HO   3.96 | HOF 37.57 | SE  2.26 | loss 0.0302 |   5572s
ep  1800 | eps 0.30 | return    63.52 | HO   4.02 | HOF 36.65 | SE  2.27 | loss 0.0292 |   5651s
ep  1825 | eps 0.29 | return    66.08 | HO   3.92 | HOF 36.23 | SE  2.28 | loss 0.0292 |   5729s
ep  1850 | eps 0.28 | return    64.14 | HO   3.92 | HOF 36.19 | SE  2.27 | loss 0.0286 |   5808s
ep  1875 | eps 0.28 | return    71.51 | HO   4.07 | HOF 35.16 | SE  2.28 | loss 0.0282 |   5886s
ep  1900 | eps 0.27 | return    75.78 | HO   3.93 | HOF 34.26 | SE  2.29 | loss 0.0278 |   5964s
ep  1925 | eps 0.26 | return    78.62 | HO   4.01 | HOF 33.72 | SE  2.29 | loss 0.0274 |   6043s
ep  1950 | eps 0.25 | return    81.28 | HO   4.04 | HOF 33.08 | SE  2.30 | loss 0.0271 |   6122s
ep  1975 | eps 0.24 | return    85.25 | HO   4.10 | HOF 32.29 | SE  2.30 | loss 0.0269 |   6200s
ep  2000 | eps 0.23 | return    90.75 | HO   3.98 | HOF 31.63 | SE  2.31 | loss 0.0263 |   6279s
ep  2025 | eps 0.22 | return    93.08 | HO   3.97 | HOF 31.21 | SE  2.31 | loss 0.0260 |   6357s
ep  2050 | eps 0.22 | return    97.73 | HO   4.14 | HOF 30.21 | SE  2.32 | loss 0.0257 |   6435s
ep  2075 | eps 0.21 | return   102.86 | HO   3.99 | HOF 29.55 | SE  2.33 | loss 0.0250 |   6514s
ep  2100 | eps 0.20 | return   105.45 | HO   4.16 | HOF 28.96 | SE  2.33 | loss 0.0243 |   6592s
ep  2125 | eps 0.19 | return   111.09 | HO   4.13 | HOF 27.94 | SE  2.33 | loss 0.0241 |   6671s
ep  2150 | eps 0.18 | return   113.00 | HO   4.19 | HOF 27.46 | SE  2.34 | loss 0.0238 |   6750s
ep  2175 | eps 0.17 | return   117.42 | HO   4.18 | HOF 26.52 | SE  2.34 | loss 0.0233 |   6829s
ep  2200 | eps 0.17 | return   121.15 | HO   4.15 | HOF 25.97 | SE  2.35 | loss 0.0232 |   6908s
ep  2225 | eps 0.16 | return   124.10 | HO   4.31 | HOF 25.09 | SE  2.35 | loss 0.0226 |   6987s
ep  2250 | eps 0.15 | return   128.75 | HO   4.28 | HOF 24.38 | SE  2.36 | loss 0.0221 |   7066s
ep  2275 | eps 0.14 | return   136.79 | HO   4.26 | HOF 23.08 | SE  2.37 | loss 0.0216 |   7146s
ep  2300 | eps 0.13 | return   141.14 | HO   4.19 | HOF 22.42 | SE  2.37 | loss 0.0213 |   7225s
ep  2325 | eps 0.12 | return   142.65 | HO   4.24 | HOF 21.75 | SE  2.38 | loss 0.0210 |   7304s
ep  2350 | eps 0.12 | return   147.73 | HO   4.36 | HOF 20.68 | SE  2.38 | loss 0.0208 |   7383s
ep  2375 | eps 0.11 | return   152.71 | HO   4.27 | HOF 19.97 | SE  2.39 | loss 0.0198 |   7461s
ep  2400 | eps 0.10 | return   161.12 | HO   4.28 | HOF 18.68 | SE  2.40 | loss 0.0195 |   7539s
ep  2425 | eps 0.10 | return   161.19 | HO   4.35 | HOF 18.30 | SE  2.40 | loss 0.0191 |   7617s
ep  2450 | eps 0.10 | return   163.49 | HO   4.29 | HOF 18.05 | SE  2.40 | loss 0.0186 |   7695s
ep  2475 | eps 0.10 | return   162.21 | HO   4.25 | HOF 18.28 | SE  2.40 | loss 0.0182 |   7773s
ep  2500 | eps 0.10 | return   162.06 | HO   4.26 | HOF 18.26 | SE  2.40 | loss 0.0177 |   7852s
ep  2525 | eps 0.10 | return   163.61 | HO   4.16 | HOF 18.21 | SE  2.40 | loss 0.0173 |   7930s
ep  2550 | eps 0.10 | return   162.92 | HO   4.30 | HOF 18.01 | SE  2.40 | loss 0.0176 |   8008s
ep  2575 | eps 0.10 | return   162.49 | HO   4.30 | HOF 18.19 | SE  2.40 | loss 0.0172 |   8086s
ep  2600 | eps 0.10 | return   163.69 | HO   4.27 | HOF 17.96 | SE  2.40 | loss 0.0172 |   8164s
ep  2625 | eps 0.10 | return   161.67 | HO   4.17 | HOF 18.28 | SE  2.40 | loss 0.0170 |   8243s
ep  2650 | eps 0.10 | return   163.18 | HO   4.32 | HOF 18.10 | SE  2.40 | loss 0.0170 |   8321s
ep  2675 | eps 0.10 | return   164.43 | HO   4.34 | HOF 17.79 | SE  2.40 | loss 0.0168 |   8400s
ep  2700 | eps 0.10 | return   163.90 | HO   4.31 | HOF 17.80 | SE  2.40 | loss 0.0170 |   8478s
ep  2725 | eps 0.10 | return   163.83 | HO   4.33 | HOF 17.82 | SE  2.40 | loss 0.0166 |   8557s
ep  2750 | eps 0.10 | return   164.05 | HO   4.25 | HOF 17.82 | SE  2.40 | loss 0.0163 |   8635s
ep  2775 | eps 0.10 | return   165.28 | HO   4.45 | HOF 17.66 | SE  2.41 | loss 0.0164 |   8714s
ep  2800 | eps 0.10 | return   166.56 | HO   4.30 | HOF 17.63 | SE  2.41 | loss 0.0161 |   8792s
ep  2825 | eps 0.10 | return   165.56 | HO   4.25 | HOF 17.68 | SE  2.40 | loss 0.0161 |   8871s
ep  2850 | eps 0.10 | return   163.25 | HO   4.25 | HOF 17.94 | SE  2.40 | loss 0.0159 |   8949s
ep  2875 | eps 0.10 | return   163.26 | HO   4.31 | HOF 17.87 | SE  2.40 | loss 0.0160 |   9028s
ep  2900 | eps 0.10 | return   163.25 | HO   4.37 | HOF 17.82 | SE  2.40 | loss 0.0157 |   9107s
ep  2925 | eps 0.10 | return   163.75 | HO   4.24 | HOF 17.87 | SE  2.40 | loss 0.0154 |   9185s
ep  2950 | eps 0.10 | return   164.16 | HO   4.26 | HOF 17.80 | SE  2.40 | loss 0.0154 |   9263s
ep  2975 | eps 0.10 | return   166.76 | HO   4.47 | HOF 17.39 | SE  2.41 | loss 0.0152 |   9342s
ep  3000 | eps 0.10 | return   165.64 | HO   4.25 | HOF 17.63 | SE  2.41 | loss 0.0150 |   9420s
ep  3025 | eps 0.10 | return   166.05 | HO   4.23 | HOF 17.66 | SE  2.41 | loss 0.0155 |   9498s
ep  3050 | eps 0.10 | return   164.86 | HO   4.25 | HOF 17.68 | SE  2.40 | loss 0.0150 |   9577s
ep  3075 | eps 0.10 | return   166.01 | HO   4.31 | HOF 17.45 | SE  2.41 | loss 0.0149 |   9656s
ep  3100 | eps 0.10 | return   164.87 | HO   4.31 | HOF 17.68 | SE  2.40 | loss 0.0148 |   9734s
ep  3125 | eps 0.10 | return   164.37 | HO   4.35 | HOF 17.58 | SE  2.40 | loss 0.0148 |   9812s
ep  3150 | eps 0.10 | return   165.56 | HO   4.21 | HOF 17.65 | SE  2.40 | loss 0.0146 |   9891s
ep  3175 | eps 0.10 | return   164.79 | HO   4.28 | HOF 17.52 | SE  2.40 | loss 0.0143 |   9970s
ep  3200 | eps 0.10 | return   166.41 | HO   4.26 | HOF 17.62 | SE  2.41 | loss 0.0140 |  10048s
ep  3225 | eps 0.10 | return   164.69 | HO   4.36 | HOF 17.55 | SE  2.40 | loss 0.0140 |  10127s
ep  3250 | eps 0.10 | return   163.38 | HO   4.33 | HOF 17.81 | SE  2.40 | loss 0.0142 |  10205s
ep  3275 | eps 0.10 | return   162.95 | HO   4.28 | HOF 17.74 | SE  2.40 | loss 0.0140 |  10283s
ep  3300 | eps 0.10 | return   163.69 | HO   4.28 | HOF 17.61 | SE  2.40 | loss 0.0136 |  10362s
ep  3325 | eps 0.10 | return   166.33 | HO   4.27 | HOF 17.40 | SE  2.40 | loss 0.0134 |  10441s
ep  3350 | eps 0.10 | return   165.67 | HO   4.37 | HOF 17.32 | SE  2.40 | loss 0.0130 |  10519s
ep  3375 | eps 0.10 | return   164.45 | HO   4.48 | HOF 17.35 | SE  2.40 | loss 0.0137 |  10599s
ep  3400 | eps 0.10 | return   164.04 | HO   4.36 | HOF 17.63 | SE  2.40 | loss 0.0131 |  10677s
ep  3425 | eps 0.10 | return   164.43 | HO   4.28 | HOF 17.66 | SE  2.40 | loss 0.0134 |  10756s
ep  3450 | eps 0.10 | return   166.71 | HO   4.34 | HOF 17.29 | SE  2.41 | loss 0.0130 |  10834s
ep  3475 | eps 0.10 | return   164.92 | HO   4.43 | HOF 17.46 | SE  2.40 | loss 0.0131 |  10913s
ep  3500 | eps 0.10 | return   164.77 | HO   4.30 | HOF 17.60 | SE  2.40 | loss 0.0130 |  10993s
ep  3525 | eps 0.10 | return   166.01 | HO   4.33 | HOF 17.34 | SE  2.40 | loss 0.0129 |  11072s
ep  3550 | eps 0.10 | return   165.51 | HO   4.40 | HOF 17.20 | SE  2.40 | loss 0.0127 |  11152s
ep  3575 | eps 0.10 | return   166.39 | HO   4.33 | HOF 17.29 | SE  2.40 | loss 0.0129 |  11230s
ep  3600 | eps 0.10 | return   166.79 | HO   4.33 | HOF 17.26 | SE  2.40 | loss 0.0126 |  11309s
ep  3625 | eps 0.10 | return   165.51 | HO   4.40 | HOF 17.43 | SE  2.40 | loss 0.0125 |  11388s
ep  3650 | eps 0.10 | return   166.90 | HO   4.37 | HOF 17.20 | SE  2.41 | loss 0.0124 |  11466s
ep  3675 | eps 0.10 | return   166.75 | HO   4.38 | HOF 17.19 | SE  2.41 | loss 0.0125 |  11544s
ep  3700 | eps 0.10 | return   164.66 | HO   4.40 | HOF 17.38 | SE  2.40 | loss 0.0121 |  11624s
ep  3725 | eps 0.10 | return   165.26 | HO   4.41 | HOF 17.38 | SE  2.40 | loss 0.0122 |  11703s
ep  3750 | eps 0.10 | return   167.04 | HO   4.29 | HOF 17.30 | SE  2.40 | loss 0.0120 |  11782s
ep  3775 | eps 0.10 | return   165.85 | HO   4.45 | HOF 17.28 | SE  2.40 | loss 0.0125 |  11861s
ep  3800 | eps 0.10 | return   165.76 | HO   4.39 | HOF 17.49 | SE  2.40 | loss 0.0119 |  11940s
ep  3825 | eps 0.10 | return   167.83 | HO   4.59 | HOF 17.04 | SE  2.41 | loss 0.0120 |  12018s
ep  3850 | eps 0.10 | return   166.01 | HO   4.38 | HOF 17.36 | SE  2.40 | loss 0.0118 |  12096s
ep  3875 | eps 0.10 | return   164.38 | HO   4.40 | HOF 17.29 | SE  2.40 | loss 0.0118 |  12175s
ep  3900 | eps 0.10 | return   166.64 | HO   4.35 | HOF 17.12 | SE  2.40 | loss 0.0116 |  12254s
ep  3925 | eps 0.10 | return   167.48 | HO   4.38 | HOF 17.21 | SE  2.41 | loss 0.0114 |  12333s
ep  3950 | eps 0.10 | return   164.67 | HO   4.44 | HOF 17.27 | SE  2.40 | loss 0.0114 |  12412s
ep  3975 | eps 0.10 | return   165.70 | HO   4.46 | HOF 17.22 | SE  2.40 | loss 0.0112 |  12491s
ep  4000 | eps 0.10 | return   166.98 | HO   4.46 | HOF 17.11 | SE  2.41 | loss 0.0112 |  12569s
saved -> gpu100_repro/runs/g100_ilcho_sigmoid_seed2  (12570s)
############ [seed=2 2/4] ILCHO linear -- 3000 ep ############ Wed, Sep  9, 2026  2:17:27 PM
replay buffer: 168 episodes (17.8 MB/episode)
C:\Users\84946\Documents\learning\6G_NTN\src\ilcho\train.py:127: RuntimeWarning: Mean of empty slice
  f"loss {np.nanmean(hist['loss'][w]):.4f} | "
ep     1 | eps 0.90 | return   196.54 | HO   2.60 | HOF 64.10 | SE  2.06 | loss nan |      3s
ep    25 | eps 0.89 | return   204.24 | HO   2.91 | HOF 63.07 | SE  2.08 | loss 21.9320 |     79s
ep    50 | eps 0.88 | return   203.18 | HO   2.80 | HOF 63.34 | SE  2.08 | loss 2.4584 |    159s
ep    75 | eps 0.87 | return   208.38 | HO   2.88 | HOF 62.47 | SE  2.09 | loss 0.5458 |    238s
ep   100 | eps 0.86 | return   206.22 | HO   2.95 | HOF 62.69 | SE  2.08 | loss 0.2341 |    319s
ep   125 | eps 0.84 | return   198.39 | HO   2.75 | HOF 64.03 | SE  2.08 | loss 0.1401 |    398s
ep   150 | eps 0.83 | return   204.69 | HO   2.82 | HOF 63.02 | SE  2.08 | loss 0.1739 |    478s
ep   175 | eps 0.82 | return   212.44 | HO   2.89 | HOF 61.80 | SE  2.09 | loss 0.2767 |    558s
ep   200 | eps 0.81 | return   214.43 | HO   2.94 | HOF 61.58 | SE  2.09 | loss 0.2819 |    638s
ep   225 | eps 0.80 | return   216.57 | HO   2.97 | HOF 61.12 | SE  2.09 | loss 0.2028 |    718s
ep   250 | eps 0.79 | return   217.22 | HO   2.96 | HOF 61.04 | SE  2.09 | loss 0.1821 |    798s
ep   275 | eps 0.78 | return   220.11 | HO   3.02 | HOF 60.44 | SE  2.10 | loss 0.1809 |    878s
ep   300 | eps 0.77 | return   219.59 | HO   2.92 | HOF 60.66 | SE  2.10 | loss 0.1761 |    958s
ep   325 | eps 0.76 | return   222.64 | HO   2.95 | HOF 60.25 | SE  2.10 | loss 0.1725 |   1038s
ep   350 | eps 0.74 | return   226.97 | HO   3.11 | HOF 59.39 | SE  2.11 | loss 0.1710 |   1118s
ep   375 | eps 0.73 | return   227.04 | HO   3.00 | HOF 59.61 | SE  2.10 | loss 0.1687 |   1198s
ep   400 | eps 0.72 | return   228.78 | HO   2.94 | HOF 59.39 | SE  2.11 | loss 0.1675 |   1278s
ep   425 | eps 0.71 | return   226.57 | HO   2.85 | HOF 59.64 | SE  2.11 | loss 0.1603 |   1358s
ep   450 | eps 0.70 | return   226.53 | HO   2.83 | HOF 59.82 | SE  2.11 | loss 0.2926 |   1437s
ep   475 | eps 0.69 | return   236.22 | HO   3.23 | HOF 58.18 | SE  2.12 | loss 0.1926 |   1518s
ep   500 | eps 0.68 | return   235.87 | HO   3.19 | HOF 58.16 | SE  2.12 | loss 0.2128 |   1598s
ep   525 | eps 0.67 | return   243.82 | HO   3.12 | HOF 56.80 | SE  2.13 | loss 0.3777 |   1678s
ep   550 | eps 0.66 | return   238.62 | HO   3.15 | HOF 57.63 | SE  2.12 | loss 0.3746 |   1757s
ep   575 | eps 0.64 | return   250.93 | HO   3.32 | HOF 55.63 | SE  2.13 | loss 0.1822 |   1837s
ep   600 | eps 0.63 | return   261.33 | HO   3.37 | HOF 54.10 | SE  2.15 | loss 0.1505 |   1917s
ep   625 | eps 0.62 | return   256.76 | HO   3.16 | HOF 54.91 | SE  2.14 | loss 0.1898 |   1997s
ep   650 | eps 0.61 | return   251.24 | HO   2.80 | HOF 55.85 | SE  2.14 | loss 0.1494 |   2077s
ep   675 | eps 0.60 | return   246.15 | HO   2.69 | HOF 56.70 | SE  2.13 | loss 0.1281 |   2157s
ep   700 | eps 0.59 | return   257.85 | HO   3.10 | HOF 54.75 | SE  2.15 | loss 0.0975 |   2237s
ep   725 | eps 0.58 | return   268.51 | HO   3.26 | HOF 52.92 | SE  2.16 | loss 0.0847 |   2317s
ep   750 | eps 0.57 | return   274.04 | HO   3.31 | HOF 51.89 | SE  2.16 | loss 0.0921 |   2397s
ep   775 | eps 0.56 | return   274.69 | HO   3.33 | HOF 51.88 | SE  2.16 | loss 0.0936 |   2477s
ep   800 | eps 0.54 | return   273.65 | HO   3.21 | HOF 52.13 | SE  2.16 | loss 0.0829 |   2557s
ep   825 | eps 0.53 | return   275.04 | HO   3.06 | HOF 52.00 | SE  2.16 | loss 0.0736 |   2637s
ep   850 | eps 0.52 | return   279.55 | HO   3.07 | HOF 51.23 | SE  2.17 | loss 0.0676 |   2717s
ep   875 | eps 0.51 | return   286.62 | HO   3.27 | HOF 50.05 | SE  2.18 | loss 0.0630 |   2797s
ep   900 | eps 0.50 | return   291.73 | HO   3.41 | HOF 49.16 | SE  2.18 | loss 0.0622 |   2877s
ep   925 | eps 0.49 | return   296.30 | HO   3.42 | HOF 48.47 | SE  2.18 | loss 0.0639 |   2957s
ep   950 | eps 0.48 | return   298.38 | HO   3.46 | HOF 48.10 | SE  2.19 | loss 0.0635 |   3037s
ep   975 | eps 0.47 | return   304.49 | HO   3.71 | HOF 47.12 | SE  2.20 | loss 0.1427 |   3117s
ep  1000 | eps 0.46 | return   308.54 | HO   3.44 | HOF 46.69 | SE  2.20 | loss 0.0869 |   3197s
ep  1025 | eps 0.44 | return   311.90 | HO   3.58 | HOF 45.97 | SE  2.20 | loss 0.0616 |   3277s
ep  1050 | eps 0.43 | return   316.45 | HO   3.72 | HOF 45.09 | SE  2.21 | loss 0.0595 |   3357s
ep  1075 | eps 0.42 | return   321.66 | HO   3.82 | HOF 44.51 | SE  2.22 | loss 0.1333 |   3437s
ep  1100 | eps 0.41 | return   327.70 | HO   3.85 | HOF 43.44 | SE  2.22 | loss 0.1493 |   3517s
ep  1125 | eps 0.40 | return   329.21 | HO   3.88 | HOF 43.36 | SE  2.23 | loss 0.1638 |   3597s
ep  1150 | eps 0.39 | return   333.92 | HO   3.80 | HOF 42.40 | SE  2.23 | loss 0.0693 |   3676s
ep  1175 | eps 0.38 | return   329.58 | HO   3.36 | HOF 43.33 | SE  2.23 | loss 0.0822 |   3757s
ep  1200 | eps 0.37 | return   337.96 | HO   3.54 | HOF 42.01 | SE  2.24 | loss 0.0507 |   3836s
ep  1225 | eps 0.36 | return   341.63 | HO   3.53 | HOF 41.44 | SE  2.24 | loss 0.0493 |   3916s
ep  1250 | eps 0.34 | return   349.89 | HO   3.70 | HOF 40.06 | SE  2.25 | loss 0.0455 |   3996s
